id,poster_id,poster_team_id,title,description,required_skill_ids,status,amount_usd,ttl_seconds,created_at,expires_at
bounty-0001,eng-008,team-payments,Need help with Neo4j + Terraform + TypeScript issue,"Synthetic blocker requiring expertise in Neo4j, Terraform, TypeScript.",skill-neo4j|skill-terraform|skill-typescript,OPEN,150,3600,2026-04-25T08:00:00Z,2026-04-25T09:00:00Z
bounty-0002,eng-015,team-ml,Need help with React + Neo4j + TypeScript issue,"Synthetic blocker requiring expertise in React, Neo4j, TypeScript.",skill-react|skill-neo4j|skill-typescript,RESOLVED,150,14400,2026-07-28T11:00:00Z,2026-07-28T13:00:00Z
bounty-0003,eng-022,team-frontend,Need help with Next.js + Spark issue,"Synthetic blocker requiring expertise in Next.js, Spark.",skill-nextjs|skill-spark,RESOLVED,150,14400,2026-05-15T00:00:00Z,2026-05-15T01:00:00Z
bounty-0004,eng-029,team-data,Need help with Go + MLOps issue,"Synthetic blocker requiring expertise in Go, MLOps.",skill-go|skill-mlops,RESOLVED,75,3600,2026-06-12T11:00:00Z,2026-06-12T12:00:00Z
bounty-0005,eng-006,team-security,Need help with PostgreSQL issue,Synthetic blocker requiring expertise in PostgreSQL.,skill-postgres,ACCEPTED,75,7200,2026-07-26T12:00:00Z,2026-07-27T12:00:00Z
bounty-0006,eng-013,team-platform,Need help with Kafka + Observability + PostgreSQL issue,"Synthetic blocker requiring expertise in Kafka, Observability, PostgreSQL.",skill-kafka|skill-observability|skill-postgres,RESOLVED,100,7200,2026-06-21T14:00:00Z,2026-06-21T15:00:00Z
bounty-0007,eng-020,team-payments,Need help with Redis issue,Synthetic blocker requiring expertise in Redis.,skill-redis,OPEN,100,86400,2026-08-06T18:00:00Z,2026-08-07T18:00:00Z
bounty-0008,eng-027,team-ml,Need help with PostgreSQL + Kafka + Observability issue,"Synthetic blocker requiring expertise in PostgreSQL, Kafka, Observability.",skill-postgres|skill-kafka|skill-observability,ACCEPTED,50,14400,2026-05-23T16:00:00Z,2026-05-23T17:00:00Z
bounty-0009,eng-004,team-frontend,Need help with AppSec + Go + Next.js issue,"Synthetic blocker requiring expertise in AppSec, Go, Next.js.",skill-security|skill-go|skill-nextjs,RESOLVED,50,14400,2026-06-12T23:00:00Z,2026-06-13T00:00:00Z
bounty-0010,eng-011,team-data,Need help with Terraform + TypeScript issue,"Synthetic blocker requiring expertise in Terraform, TypeScript.",skill-terraform|skill-typescript,RESOLVED,250,86400,2026-08-06T23:00:00Z,2026-08-07T01:00:00Z
bounty-0011,eng-018,team-security,Need help with Neo4j + MLOps issue,"Synthetic blocker requiring expertise in Neo4j, MLOps.",skill-neo4j|skill-mlops,RESOLVED,200,86400,2026-06-14T16:00:00Z,2026-06-15T16:00:00Z
bounty-0012,eng-025,team-platform,Need help with Terraform + MLOps issue,"Synthetic blocker requiring expertise in Terraform, MLOps.",skill-terraform|skill-mlops,RESOLVED,75,3600,2026-06-06T04:00:00Z,2026-06-06T08:00:00Z
bounty-0013,eng-002,team-payments,Need help with PostgreSQL + AppSec issue,"Synthetic blocker requiring expertise in PostgreSQL, AppSec.",skill-postgres|skill-security,EXPIRED,100,3600,2026-06-21T18:00:00Z,2026-06-22T18:00:00Z
bounty-0014,eng-009,team-ml,Need help with Neo4j + TypeScript issue,"Synthetic blocker requiring expertise in Neo4j, TypeScript.",skill-neo4j|skill-typescript,RESOLVED,100,14400,2026-07-24T01:00:00Z,2026-07-24T05:00:00Z
bounty-0015,eng-016,team-frontend,Need help with Go + Kubernetes + PostgreSQL issue,"Synthetic blocker requiring expertise in Go, Kubernetes, PostgreSQL.",skill-go|skill-kubernetes|skill-postgres,EXPIRED,150,7200,2026-08-10T05:00:00Z,2026-08-11T05:00:00Z
bounty-0016,eng-023,team-data,Need help with MLOps + TypeScript + Terraform issue,"Synthetic blocker requiring expertise in MLOps, TypeScript, Terraform.",skill-mlops|skill-typescript|skill-terraform,OPEN,100,7200,2026-05-11T12:00:00Z,2026-05-12T12:00:00Z
bounty-0017,eng-030,team-security,Need help with PostgreSQL + Redis + Python issue,"Synthetic blocker requiring expertise in PostgreSQL, Redis, Python.",skill-postgres|skill-redis|skill-python,EXPIRED,200,14400,2026-06-07T01:00:00Z,2026-06-08T01:00:00Z
bounty-0018,eng-007,team-platform,Need help with Kubernetes + Next.js + Terraform issue,"Synthetic blocker requiring expertise in Kubernetes, Next.js, Terraform.",skill-kubernetes|skill-nextjs|skill-terraform,RESOLVED,100,14400,2026-05-22T22:00:00Z,2026-05-23T00:00:00Z
bounty-0019,eng-014,team-payments,Need help with MLOps issue,Synthetic blocker requiring expertise in MLOps.,skill-mlops,OPEN,250,7200,2026-07-27T02:00:00Z,2026-07-27T04:00:00Z
bounty-0020,eng-021,team-ml,Need help with MLOps issue,Synthetic blocker requiring expertise in MLOps.,skill-mlops,RESOLVED,50,7200,2026-06-20T04:00:00Z,2026-06-20T08:00:00Z
bounty-0021,eng-028,team-frontend,Need help with Next.js issue,Synthetic blocker requiring expertise in Next.js.,skill-nextjs,OPEN,250,7200,2026-07-29T03:00:00Z,2026-07-29T07:00:00Z
bounty-0022,eng-005,team-data,Need help with Go issue,Synthetic blocker requiring expertise in Go.,skill-go,ACCEPTED,250,86400,2026-06-11T03:00:00Z,2026-06-11T04:00:00Z
bounty-0023,eng-012,team-security,Need help with Observability issue,Synthetic blocker requiring expertise in Observability.,skill-observability,EXPIRED,150,14400,2026-07-14T21:00:00Z,2026-07-14T23:00:00Z
