engineer_a_id,engineer_b_id,collaboration_count,last_collaborated_at
eng-016,eng-030,12,2026-03-23
eng-017,eng-023,5,2026-01-19
eng-016,eng-027,8,2026-04-17
eng-015,eng-018,3,2026-02-04
eng-007,eng-030,10,2025-12-02
eng-024,eng-029,3,2026-07-15
eng-009,eng-025,7,2026-02-26
eng-026,eng-030,9,2026-04-05
eng-001,eng-027,5,2026-03-20
eng-019,eng-027,10,2025-09-16
eng-016,eng-028,3,2026-01-03
eng-016,eng-018,6,2026-03-02
eng-018,eng-025,9,2026-02-07
eng-015,eng-030,6,2026-05-15
eng-008,eng-023,10,2026-02-04
eng-008,eng-028,7,2026-07-28
eng-011,eng-024,8,2025-08-23
eng-026,eng-030,7,2026-02-03
eng-022,eng-026,11,2026-06-03
eng-002,eng-016,3,2025-12-05
eng-011,eng-019,2,2026-01-06
eng-004,eng-017,8,2026-08-12
eng-005,eng-024,7,2025-09-18
eng-003,eng-005,8,2026-04-06
eng-011,eng-020,12,2026-01-28
eng-003,eng-021,6,2025-09-08
eng-018,eng-028,7,2026-03-10
eng-021,eng-023,8,2025-11-15
eng-002,eng-020,2,2026-04-21
eng-021,eng-022,5,2026-04-25
eng-003,eng-024,7,2026-06-30
eng-021,eng-025,12,2026-06-29
eng-006,eng-015,12,2026-03-19
eng-001,eng-029,1,2026-03-06
eng-002,eng-026,5,2026-02-17
eng-012,eng-014,3,2026-04-16
eng-014,eng-017,10,2025-09-04
eng-006,eng-026,3,2026-05-22
eng-003,eng-020,7,2025-10-06
eng-008,eng-022,8,2025-10-25
eng-005,eng-008,8,2025-09-27
eng-009,eng-015,5,2025-09-12
eng-001,eng-029,8,2026-03-25
eng-018,eng-022,3,2026-07-13
eng-012,eng-015,10,2026-03-19
