engineer_id,skill_id,level,last_used_at
eng-001,skill-kubernetes,5,2025-08-14
eng-001,skill-spark,3,2026-03-31
eng-001,skill-redis,5,2026-05-18
eng-001,skill-mlops,2,2026-04-29
eng-001,skill-observability,3,2026-03-09
eng-001,skill-react,5,2026-06-15
eng-002,skill-react,2,2026-04-24
eng-002,skill-observability,4,2025-09-05
eng-002,skill-typescript,2,2025-10-23
eng-002,skill-kubernetes,5,2026-03-11
eng-002,skill-redis,5,2026-08-16
eng-003,skill-spark,2,2025-10-18
eng-003,skill-mlops,3,2026-03-16
eng-003,skill-redis,4,2026-03-07
eng-003,skill-kubernetes,2,2025-09-22
eng-003,skill-neo4j,5,2026-07-31
eng-003,skill-terraform,2,2025-08-13
eng-004,skill-postgres,2,2025-04-09
eng-004,skill-go,2,2026-04-13
eng-004,skill-spark,3,2025-04-20
eng-004,skill-observability,3,2025-11-21
eng-004,skill-kafka,5,2026-01-15
eng-005,skill-security,4,2025-05-28
eng-005,skill-mlops,5,2026-04-18
eng-005,skill-terraform,3,2026-01-01
eng-005,skill-postgres,2,2025-09-07
eng-005,skill-redis,2,2025-12-27
eng-005,skill-react,3,2026-08-12
eng-006,skill-mlops,2,2026-07-18
eng-006,skill-python,4,2026-06-08
eng-006,skill-go,3,2025-11-07
eng-006,skill-postgres,5,2026-01-12
eng-007,skill-neo4j,5,2025-06-29
eng-007,skill-mlops,3,2026-05-15
eng-007,skill-observability,2,2025-06-04
eng-007,skill-security,4,2025-06-12
eng-007,skill-typescript,5,2025-04-28
eng-007,skill-postgres,2,2026-05-11
eng-008,skill-react,3,2026-02-04
eng-008,skill-mlops,3,2025-05-17
eng-008,skill-nextjs,3,2025-06-13
eng-008,skill-kafka,3,2025-11-07
eng-009,skill-postgres,2,2026-06-29
eng-009,skill-terraform,2,2026-05-16
eng-009,skill-kafka,3,2026-03-02
eng-009,skill-typescript,5,2025-04-09
eng-009,skill-kubernetes,5,2026-01-13
eng-010,skill-spark,5,2025-11-21
eng-010,skill-go,5,2025-10-31
eng-010,skill-neo4j,5,2025-04-08
eng-010,skill-react,3,2026-02-06
eng-010,skill-terraform,4,2026-01-09
eng-011,skill-observability,4,2026-06-22
eng-011,skill-mlops,2,2025-04-18
eng-011,skill-kubernetes,3,2026-06-22
eng-011,skill-go,2,2026-02-10
eng-012,skill-observability,5,2026-04-19
eng-012,skill-kafka,3,2026-07-10
eng-012,skill-python,2,2025-06-16
eng-012,skill-postgres,4,2025-11-25
eng-013,skill-python,4,2025-07-10
eng-013,skill-mlops,3,2025-10-16
eng-013,skill-nextjs,5,2025-09-30
eng-013,skill-postgres,2,2026-08-10
eng-014,skill-observability,3,2025-03-19
eng-014,skill-spark,4,2026-04-06
eng-014,skill-kafka,4,2026-06-10
eng-014,skill-security,3,2025-08-06
eng-014,skill-kubernetes,4,2026-03-11
eng-015,skill-terraform,2,2025-10-17
eng-015,skill-kubernetes,2,2026-04-04
eng-015,skill-mlops,4,2026-04-23
eng-015,skill-redis,2,2026-03-13
eng-015,skill-observability,4,2025-11-04
eng-016,skill-postgres,5,2025-12-05
eng-016,skill-mlops,2,2026-05-17
eng-016,skill-nextjs,5,2025-11-09
eng-016,skill-spark,2,2026-08-16
eng-016,skill-python,4,2026-04-08
eng-016,skill-redis,4,2026-03-07
eng-017,skill-typescript,2,2026-06-03
eng-017,skill-kubernetes,3,2026-07-14
eng-017,skill-mlops,4,2026-03-21
eng-017,skill-react,5,2026-04-11
eng-017,skill-terraform,2,2025-10-08
eng-017,skill-go,4,2026-07-10
eng-018,skill-postgres,4,2025-06-29
eng-018,skill-python,3,2025-12-20
eng-018,skill-spark,3,2026-02-19
