id,bounty_id,expert_id,status,amount_usd,updated_at
escrow-0001,bounty-0002,eng-008,RELEASED,150,2026-07-28T13:00:00Z
escrow-0002,bounty-0003,eng-021,RELEASED,150,2026-05-15T01:00:00Z
escrow-0003,bounty-0004,eng-012,RELEASED,75,2026-06-12T12:00:00Z
escrow-0004,bounty-0006,eng-028,RELEASED,100,2026-06-21T15:00:00Z
escrow-0005,bounty-0009,eng-005,RELEASED,50,2026-06-13T00:00:00Z
escrow-0006,bounty-0010,eng-025,RELEASED,250,2026-08-07T01:00:00Z
escrow-0007,bounty-0011,eng-027,RELEASED,200,2026-06-15T16:00:00Z
escrow-0008,bounty-0012,eng-012,RELEASED,75,2026-06-06T08:00:00Z
escrow-0009,bounty-0014,eng-022,RELEASED,100,2026-07-24T05:00:00Z
escrow-0010,bounty-0018,eng-004,RELEASED,100,2026-05-23T00:00:00Z
escrow-0011,bounty-0020,eng-005,RELEASED,50,2026-06-20T08:00:00Z
escrow-0012,bounty-0034,eng-004,RELEASED,200,2026-08-15T00:00:00Z
