engineer_id,bounty_id,rating,solved_at
eng-008,bounty-0002,5,2026-07-28T13:00:00Z
eng-021,bounty-0003,4,2026-05-15T01:00:00Z
eng-012,bounty-0004,5,2026-06-12T12:00:00Z
eng-028,bounty-0006,5,2026-06-21T15:00:00Z
eng-005,bounty-0009,4,2026-06-13T00:00:00Z
eng-025,bounty-0010,4,2026-08-07T01:00:00Z
eng-027,bounty-0011,4,2026-06-15T16:00:00Z
eng-012,bounty-0012,4,2026-06-06T08:00:00Z
eng-022,bounty-0014,5,2026-07-24T05:00:00Z
eng-004,bounty-0018,4,2026-05-23T00:00:00Z
eng-005,bounty-0020,5,2026-06-20T08:00:00Z
eng-004,bounty-0034,4,2026-08-15T00:00:00Z
